DH2GC Lithic Analysis Form- Debitage,,,,,,
Dates: ,,,,,,
Analyzed by:,,,,,,
Artifact#,Provenience,Quantity,Weight (Grams),Size (mm),Analyzed by,Comments
977,2-A-5,50,56.3,26.4,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
978,2-A-5,19,6.2,14.9,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
979,3-B-6,1,0.3,10.6,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
980,3-B-6,4,7.5,19,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
981,3-B-6,2,12,29.6,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
982,4-B-2,3,1.7,20,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
983,4-B-2,2,6.5,30,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
984,4-B-2,6,11.5,25.7,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
985,4-B-2,12,3.3,14.7,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
986,2-A-3,119,79,21.4,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
987,2-A-3,20,33.8,28.1,"KP, RG. EM, & MCR",6/23/13 reanalyzed JB
1058,4-J-2,14,13,18.5,MCR,6/23/13 reanalyzed JB
1059,4-J-2,6,23,30,MCR,6/23/13 reanalyzed JB
1060,4-J-2,6,6,10.3,MCR,6/23/13 reanalyzed JB
1062,4-J-2,15,8,16.6,MCR,6/23/13 reanalyzed JB
1064,2-A-3,3,1,16.9,MCR,6/23/13 reanalyzed JB
1065,4-G-2,4,7.4,23.5,EM,6/23/13 reanalyzed JB
1066,4-G-2,16,82.7,25.9,EM,6/23/13 reanalyzed JB
1072,4-G-2,1,1.6,24.2,EM,6/23/13 reanalyzed JB
1073,3-A-1,10,3.3,12.6,MCR,6/23/13 reanalyzed JB
1080,2-B-3,3,2.2,15.5,KP,6/23/13 reanalyzed JB
1083,1-A-6,1,13.9,33.1,KP,6/23/13 reanalyzed JB
53,1-B-8,1,55.9,66.8,KP,6/23/13 reanalyzed JB
1089,1-B-9,9,10,22.9,KP & RG,6/23/13 reanalyzed JB
1090,1-B-9,4,18,33.5,KP & RG,6/23/13 reanalyzed JB
1091,1-B-9,2,26.9,39.8,KP & RG,6/23/13 reanalyzed JB
1092,1-B-2,2,23.8,37,KP & RG,Reanalysed JB
1101,1-B-2,1,20.6,41.4,KP & RG,Reanalysed JB
1102,1-B-2,4,20.4,25.1,KP & RG,Reanalysed JB
1103,1-B-2,2,1.5,18.8,KP & RG,Reanalysed JB
1104,2-A-1,8,8.4,23,KP & RG,Reanalysed JB
1105,2-A-1,3,42.1,44.8,KP & RG,Reanalysed JB
1106,2-A-1,10,1.9,19.2,KP & RG,Reanalysed JB
1107,2-A-1,2,6.8,19.6,KP & RG,Reanalysed JB
