"Artifact_Id","Operation","Suboperation","Lot","Type_collection","Lenght_mm","Width_mm","Thickness_mm","Mass_g","Raw_material","Quality","Comments"
1203,4,"J",6,"Prismatic Blade",27.5,7.6,2.5,0.7,"Obsidian",NA,"Striations"
1205,4,"J",6,"Uniface",15,4.6,1.4,0.1,"Obsidian",NA,"Dorsal Flake Scan Very Small Bulb"
1206,4,"J",6,"Uniface",9.1,6.1,0.9,0.1,"Obsidian",NA,""
1209,4,"J",6,"Uniface",11.4,8.3,1.9,0.2,"Obsidian",NA,"Striations"
1213,4,"J",6,"Prismatic Blade",22.9,7.2,2.1,0.3,"Obsidian",NA,"Rippling"
1215,4,"J",6,"Uniface",31.6,6.9,0.9,0.3,"Obsidian",NA,"Dorsal Flake Bulb Rippling"
1216,4,"J",6,"Uniface",18.9,7.4,1.7,0.3,"Obsidian",NA,"Striations"
1217,4,"J",4,"Uniface",31.6,6.4,1.6,0.4,"Obsidian",NA,""
1218,4,"J",4,"Prismatic Blade",41,10.5,1.9,1,"Obsidian",NA,"Evidence of Trimming Rippling and Weathering"
1219,4,"J",4,"Prismatic Blade",36.1,10.2,1.9,0.8,"Obsidian",NA,"Pressure Flaking Dorsal Side"
1220,4,"J",4,"Prismatic Blade",25.1,6.1,1.2,0.3,"Obsidian",NA,""
1221,4,"J",4,"Prismatic Blade",23.3,10.8,2.3,0.6,"Obsidian",NA,"Small Bulb Ventral Chipping Ripplings"
1222,4,"J",4,"Prismatic Blade",20.4,10.3,2.5,0.6,"Obsidian",NA,"Small Bulb Evidence of Thinning Striations"
1223,4,"J",4,"Uniface",20.8,8.6,1.5,0.2,"Obsidian",NA,"Small Bulb Thinning"
1224,4,"J",4,"Prismatic Blade",17.4,7.8,1.3,0.2,"Obsidian",NA,"Striations Rippling"
1225,4,"J",4,"Uniface",17.2,8.7,1.1,0.2,"Obsidian",NA,"Small Bulb, Striations, and Ripples"
1226,4,"J",4,"Uniface",16.4,6.9,1.9,0.2,"Obsidian",NA,"Nicking on Dorsal Ridge Ripples"
1231,4,"J",4,"Uniface",12.2,9.6,3.1,0.4,"Obsidian",NA,"Striations Ripples and Small Bulb"
1233,4,"J",4,"Uniface",16.3,5,2.4,0.2,"Obsidian",NA,"Small Bulb Ventral Flake Scar x2"
1234,4,"J",4,"Uniface",7.2,8.1,2.3,0.2,"Obsidian",NA,""
