"Artifact_Id","Operation","Suboperation","Lot","Lenght_mm","Width_mm","Mass_g","Thickness_mm","Raw_material","Quality","Cortex","Attribute_termination","Comments","Thickness_bulb_mm","Attribute_platform","Type_collection"
651,6,"B",4,21.7,17.6,1.8,3.8,"Limestone",3,"None",NA,"Masonry Flake",NA,NA,NA
652,6,"B",4,20.1,21.2,1.3,4.4,"Limestone",3,"None",NA,"Masonry Flake",4.5,"Flat",NA
654,4,"B",4,25.1,6.8,0.6,2.9,"Limestone",3,"None","Stepped","",NA,"Flat",NA
657,4,"F",3,30.8,19.5,3.4,5.4,"Chert",2,"None","Hinged","",5.7,"Flat",NA
658,4,"F",3,19.3,13.4,1.2,3.3,"Chert",2,"None",NA,"",3.8,NA,NA
660,6,"B",2,25.3,18.7,3.8,5.6,"Chert",3,"None","Overshot","",NA,NA,NA
663,6,"B",2,29.5,21.8,2.7,3.5,"Chert",3,"None",NA,"",4.1,NA,NA
664,6,"B",2,20.4,20.2,1.4,5.3,"Chert",4,"None",NA,"",NA,NA,NA
665,6,"B",2,22.6,10.4,1.5,7.3,"Chert",2,"None",NA,"",NA,NA,NA
666,6,"B",2,22.9,17.1,3.1,8.3,"Chert",5,"None","Feathered","",6.8,"Flat",NA
672,6,"A",2,24.5,19.5,4.2,10.8,"Chert",5,"None",NA,"",NA,NA,NA
673,6,"A",2,22.1,22.4,3.6,7.3,"Chert",3,"None",NA,"",7.2,"Flat",NA
674,6,"A",2,27,19.9,3.5,5.6,"Chert",3,"None",NA,"",NA,NA,NA
676,6,"A",2,17.6,14.3,0.6,2.3,"Chert",4,"None",NA,"",NA,NA,NA
677,6,"A",2,31.6,20.3,2.7,4.1,"Limestone",2,"None",NA,"Masonry Flake",NA,NA,NA
681,6,"A",2,18.5,11.7,1.6,7.4,"Chert",2,"None",NA,"",NA,NA,NA
682,6,"A",3,30.7,19.5,3.7,5,"Chert",4,"None","Feathered","",6,NA,NA
683,6,"A",3,24,21.1,2.5,6,"Chert",2,"None","Feathered","",6.6,"Flat",NA
684,6,"A",3,15.5,9,1.2,5.5,"Chert",5,"None",NA,"",NA,NA,NA
686,6,"A",3,20.8,13.9,2.5,1.5,"Chert",4,"None","Hinged","",4.1,"Flat",NA
687,6,"A",3,18.6,11.2,4.5,1.2,"Chert",5,"None","Feathered","",4.6,"Flat",NA
691,6,"A",3,33.8,21.9,5.4,9.4,"Chert",5,"None","Feathered","",9.2,NA,NA
693,6,"D",2,41,23,10.7,11,"Chert",3,"<50%","Feathered","",NA,NA,NA
694,6,"D",2,24,14,0.5,2,"Chert",5,"None","Feathered","",2,NA,NA
695,6,"D",2,31,29,1.2,9.5,"Chert",1,"<50%",NA,"",NA,NA,NA
696,6,"C",2,14,12,0.3,2,"Chert",5,"None",NA,"",NA,NA,NA
699,4,"G",3,37.3,22,7.2,6.1,"Chert",1,"None",NA,"",NA,NA,NA
700,4,"G",3,34.7,17.3,6,10.6,"Chert",4,"None",NA,"",9.5,NA,NA
701,4,"G",3,24.2,17.9,3.9,2.2,"Chert",3,"<50%",NA,"",NA,NA,NA
708,6,"A",1,46.9,17.8,11.9,13.2,"Chert",3,"None",NA,"",NA,NA,NA
709,6,"A",1,24.6,15.7,9.1,2.6,"Chert",1,"None",NA,"",NA,NA,NA
710,6,"A",1,21.6,16.2,3.4,1.4,"Chert",3,"None","Feathered","",NA,NA,NA
711,6,"A",1,16.8,13.9,4.7,0.8,"Chert",5,"None","Feathered","",4.7,"Flat",NA
712,6,"A",1,17.1,8.6,4.8,0.7,"Chert",3,"None",NA,"",NA,NA,NA
713,6,"A",1,17,10.1,3.6,0.8,"Chert",3,"None","Feathered","",3.6,"Flat",NA
714,6,"A",1,14,7.8,2.8,0.3,"Chert",3,"None","Feathered","",2.8,"Flat",NA
717,4,"M",1,32.1,25.1,4.6,4.9,"Chert",4,"None","Feathered","",7.5,"Flat",NA
