Artifact#,Provenience,Length (mm),Width (mm),Weight (g),Thickness (mm),Bulb Thickness (mm),Material Type,Material Quality,Cortex,Platform,Term.,Comments
1033,2-A-3,22.7,10.3,1.2,3.9,x,Chert,Good,x,Flat,x,Reanalyzed JB
1034,2-A-3,26.2,10.3,1.8,5.7,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1035,2-A-3,24.9,12.2,1.6,4.4,x,Chert,Good,<50%,x,x,Reanalyzed JB
1036,2-A-3,23.3,9.3,2.2,5.5,x,Chert,Good,x,x,x,Reanalyzed JB
1037,2-A-3,25.8,15.6,1.8,3.4,2.5,Chert,Good,x,x,x,Reanalyzed JB
1038,2-A-3,30.6,16.8,1.5,2.9,3.1,Chert,Good,x,x,x,Reanalyzed JB
1039,2-A-3,25.3,32,4.8,7.4,6.9,Chert,Good,x,Flat,Feathered,Reanalyzed JB
1040,2-A-3,29.2,14.6,3.1,6.6,x,Chert,Good,x,x,Feathered,Reanalyzed JB
1041,2-A-3,27.4,11.7,0.9,3.1,x,Chert,Very Good,x,x,Feathered,Reanalyzed JB
1042,2-A-3,33.8,17.3,2.5,6.2,3,Chert,Bad,<50%,x,x,Reanalyzed JB
1043,2-A-3,27.1,13.2,2.3,5.2,x,Chert,Very Bad,x,x,x,Reanalyzed JB
1044,2-A-3,30.6,17.3,1.7,2.9,2.9,Chert,Bad,x,x,x,Reanalyzed JB
1045,2-A-3,24.6,1.8,1.4,4.6,3.7,Chert,Intermediate,x,Flat,x,Reanalyzed JB
1046,2-A-3,32.8,12.5,3.5,6.3,5.8,Chert,Intermediate,<50%,x,x,Reanalyzed JB
1047,2-A-3,23.2,25.2,2.1,3.5,4.8,Chert,Good,x,Flat,Feathered,Reanalyzed JB
1048,2-A-3,26.2,16.5,3.5,6.6,5.8,Chert,Good,x,x,x,Reanalyzed JB
1049,2-A-3,19.9,24,2.4,4.8,4.9,Chert,Good,x,x,Stepped,Reanalyzed JB
1050,2-A-3,26.4,13,2.6,5.1,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1051,2-A-3,18.5,24.4,2.5,4.5,4.8,Chert,Bad,x,x,Stepped,Reanalyzed JB
1052,2-A-3,23.2,14.4,2.2,8,8.2,Chert,Good,<50%,Flat,Feathered,Reanalyzed JB
1053,2-A-3,21,17.7,1.3,3.4,7,Chert,Good,x,x,Feathered,Reanalyzed JB
1054,2-A-3,24.3,12.6,1.1,3.4,x,Chert,Good,x,x,Feathered,Reanalyzed JB
1055,2-A-3,19.6,18.8,1.1,3.3,3,Chert,Very Good,x,x,Stepped,Reanalyzed JB
1056,2-A-3,24,21.8,1.3,3.5,x,Chert,Very Bad,x,x,x,Reanalyzed JB
1057,4-J-2,48.2,32,23.9,17.7,12.9,Limestone,Good,<50%,Flat,x,"Reanalyzed JB, Masonry Flake"
1067,4-G-2,32.6,31.9,7.9,6.2,6.2,Chert,Very Bad,<50%,x,x,Reanalyzed JB
1068,4-G-2,35.8,29.4,7.7,7.4,6.5,Chert,Intermediate,x,Complex,Feathered,Reanalyzed JB
1069,4-G-2,38.5,33.9,11.7,33.9,7.8,Chert,Good,<50%,x,x,Reanalyzed JB
1070,4-G-2,30.5,27.9,4.2,6.8,6,Chert,Intermediate,x,x,x,Reanalyzed JB
1074,3-A-1,16,10.5,0.6,4.3,4.3,Chert,Good,x,Flat,Feathered,Reanalyzed JB
1075,3-A-1,38.9,6.2,8.8,5.6,7.6,Chert,Intermediate,<50%,x,x,Reanalyzed JB
1076,3-A-1,27.3,22.9,6.4,4.2,x,Limestone,Bad,x,x,x,"Reanalysed JB, masonry Flake "
1077,2-B-1,28,15.7,3.6,5.5,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1078,2-B-1,16.7,10.7,0.9,4.5,4.4,Chert,Good,x,Flat,x,Reanalyzed JB
1079,2-B-1,2.7,9.5,1.3,4.5,x,Chert,Good,x,x,x,Reanalyzed JB
1080,2-B-1,26.4,9.5,1.7,5.1,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1081,2-B-1,19,12.6,0.9,3.6,4.9,Chert,Good,x,Complex?,Feathered,Reanalyzed JB
1082,1-B-9,43.7,21.8,6.1,5.2,7.5,Chert,Very Good,<50%,Flat,Stepped,Reanalyzed JB
1083,1-B-9,16.9,23.8,2,4,4.7,Chert,Bad,x,Complex,Feathered,Reanalyzed JB
1084,1-B-9,44.4,31.4,15.3,11.8,11.3,Chert,Intermediate,<50%,Flat,Feathered,Reanalyzed JB
1085,1-B-9,11.6,18,0.6,2.8,3,Chert,Intermediate,<50%,Flat,Feathered,Reanalyzed JB
1086,1-B-9,19.3,16.8,1.1,3,3.5,Chert,Very Good,x,Flat,Feathered,Reanalyzed JB
1087,1-B-9,36.3,25.6,6.3,5.5,5.7,Chert,Good,x,Flat,Feathered,Reanalyzed JB
1088,1-B-9,27.5,18.2,3,4.7,3,Chert,Good,x,Flat,Stepped,Reanalyzed JB
1093,1-B-2,17.8,27.4,3.1,5.7,7.4,Chert,Intermediate,x,Flat,Feathered,Reanalyzed JB
1094,1-B-2,36.2,19.3,6.8,5.7,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1095,1-B-2,15.1,20.1,1.4,5.9,5.3,Chert,Bad,x,Flat,Feathered,Reanalyzed JB
1096,1-B-4,41.6,30,18.1,10.8,15,Chert,Intermediate,x,Complex ,Stepped,Reanalyzed JB
1097,1-B-4,10.4,9.1,0.4,2.6,x,Chert,Intermediate,x,x,Feathered,Reanalyzed JB
234,1-B-5,37.9,20.9,4.9,3.9,5.7,Chert,Intermediate,<50%,Flat,Feathered,Reanalyzed JB
238,1-B-5,32.4,19.3,3.7,7.8,x,Chert,Good,x,x,x,Reanalyzed JB
239,1-B-5,22.7,15.9,2.2,7.3,7.5,Chert,Good,x,Complex,Feathered,Reanalyzed JB
240,1-B-5,29,14.1,1.5,2,2.5,Chert,Good,x,Complex,x,Reanalyzed JB
241,1-B-5,17.6,20.5,2.2,5.2,x,Chert,Good,x,x,Feathered,Reanalyzed JB
242,1-B-5,23.8,19.8,2.8,5.4,x,Chert,Very Good,x,x,Feathered,Reanalyzed JB
1098,1-B-2,37.8,76.2,37.8,16.1,11.6,Chert,Good,<50%,Flat,Feathered,Reanalyzed JB
1099,1-B-2,30,15.3,3.5,7.3,x,Chert,Very Good,x,x,Feathered,Reanalyzed JB
1100,1-B-2,23.2,22.2,3.1,6.3,5.5,Chert,Very Good,x,Complex,x,Reanalyzed JB
1108,2-A-1,38.4,39,10.5,8.1,8.7,Chert,Good,x,Complex,Feathered,Reanalyzed JB
1109,2-A-1,28.9,27,7.2,6.5,6.9,Chert,Intermediate,x,Flat,x,Reanalyzed JB
1110,2-A-1,49,25.8,7.4,8.7,5.7,Chert,Very Good,<50%,Flat ,x,Reanalyzed JB
1111,2-A-1,24,16.7,3.1,7.5,8.8,Chert,Intermediate,x,Flat,x,Reanalyzed JB
1112,2-A-1,26.1,20.2,1.4,2.5,x,Chert,Very Good,x,x,Feathered,Reanalyzed JB
1113,2-A-1,26.1,18.5,3.9,5.7,8.4,Chert,Very Good,x,Flat,Feathered,Reanalyzed JB
1114,2-A-1,26.9,25.2,3.5,4.5,4,Chert,Very Good,x,Flat,x,Reanalyzed JB
1115,2-A-1,26.8,10.8,2,4,x,Chert,Bad,x,x,x,Reanalyzed JB
1116,2-A-1,21.6,16.1,1.9,7.3,x,Chert,Intermediate,x,x,Feathered,Reanalyzed JB
1117,2-A-1,29.8,16.2,2.4,4.3,3.3,Chert,Intermediate,x,Flat,x,Reanalyzed JB
1118,2-A-1,14.4,22,1.4,3.9,4.2,Chert,Very Good,x,Flat ,Feathered,Reanalyzed JB
1119,2-A-1,26.2,17.3,1.9,3.9,x,Chert,Very Bad,x,x,Feathered,Reanalyzed JB
1120,2-A-1,16.8,16.7,`.8,2.3,2.8,Chert,Very Good,x,Complex,x,Reanalyzed JB
1121,2-A-1,16.3,2.6,1.7,3.3,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1122,2-A-1,20.5,22.7,1,1.5,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1123,2-A-1,8.4,16.6,0.6,2.9,2.5,Chert,Very Good,x,Flat,x,Reanalyzed JB
1124,2-A-1,27.8,12.7,2.4,4.4,5.8,Chert,Very Good,<50%,Cortical,Stepped,Reanalyzed JB
1125,2-A-6,31,32.8,4,3.2,4.9,Chert,Intermediate,x,Flat,Feathered,Reanalyzed JB
1126,2-A-6,19.8,23.6,1.7,4.3,4.2,Chert,Very Good,x,Flat,Feathered,Reanalyzed JB
1128,6-B-4,19.9,17,1,6,6.1,Chert,Bad,x,Flat,Feathered,Reanalyzed JB
